Full Directory Name,Directory Name,Date (YYYY-MM-DD)
SH_2-103_Cygnus_Loop_2024-12-04,SH_2-103_Cygnus_Loop,2024-12-04
SH_2-157_Lobster_Claw_Nebula_2024-12-02,SH_2-157_Lobster_Claw_Nebula,2024-12-02
M101_Pinwheel_Galaxy_2024-12-07,M101_Pinwheel_Galaxy,2024-12-07
SH_2-_277_Flame_Nebula_2024-12-05,SH_2-_277_Flame_Nebula,2024-12-05
M101_Pinwheel_Galaxy_2024-12-06,M101_Pinwheel_Galaxy,2024-12-06
M31_Andromeda_Nebula-2600_2024-12-01,M31_Andromeda_Nebula-2600,2024-12-01
As_Tl_Maroon Bells Milky Way_2024-09-03,As_Tl_Maroon Bells Milky Way,2024-09-03
NGC_7635_Bubble_Nebula_2024-11-21,NGC_7635_Bubble_Nebula,2024-11-21
SH_2-108_Sadar_Region_2024-12-04,SH_2-108_Sadar_Region,2024-12-04
Vega-maybe_6se_R5_2024-09-18,Vega-maybe_6se_R5,2024-09-18
As_Star Trails N Iowa_2024-10-08,As_Star Trails N Iowa,2024-10-08
As_Tl_Aspen_Maroon_Bells_Milky Way_Lincoln_Gulch _2024-09-02,As_Tl_Aspen_Maroon_Bells_Milky Way_Lincoln_Gulch ,2024-09-02
M44_Beehive_Cluster_2024-12-07,M44_Beehive_Cluster,2024-12-07
SH_2-220_California_Nebula_2024-12-04,SH_2-220_California_Nebula,2024-12-04
M31_Andromeda_Nebula_2600_2024-10-06,M31_Andromeda_Nebula_2600,2024-10-06
Vega-maybe second target_6se_R5_2024-09-18,Vega-maybe second target_6se_R5,2024-09-18
Maroon Bells Milky Way Iphone_2024-09-03,Maroon Bells Milky Way Iphone,2024-09-03
LDN_1625_2024-12-07,LDN_1625,2024-12-07
NGC_7000_North_American_Nebula_585 2024-10-02,NGC_7000_North_American_Nebula,
SH_2-_277_Flame_Nebula_2024-12-06,SH_2-_277_Flame_Nebula,2024-12-06
C2023_A3_Tsuchinshan-ATLAS_2024-10-27,C2023_A3_Tsuchinshan-ATLAS,2024-10-27
M31_Andromeda_Nebula_585_2024-12-01,M31_Andromeda_Nebula_585,2024-12-01
M45_Pleiades_2024-12-04,M45_Pleiades,2024-12-04
NGC_7000_North_American_Nebula_585 2024-10-03,NGC_7000_North_American_Nebula,
LEARN_Cuiv The Lazy Geek MASTER PixInsight,LEARN,
NG_C7000_North_American_Nebula_2600_2024-10-03,NG_C7000_North_American_Nebula_2600,2024-10-03
IC_1805_Heart_Nebula_2024-12-03,IC_1805_Heart_Nebula,2024-12-03
NGC_7635_Bubble_Nebula_2024-12-02,NGC_7635_Bubble_Nebula,2024-12-02
FOV_2024-12-07,FOV,2024-12-07
LEARN lukomatico OSC to Hubble,LEARN lukomatico OSC to Hubble,
M45_Pleiades_2600_2024-10-08,M45_Pleiades_2600,2024-10-08
M33_Triangulum_Galaxy_2024-12-03,M33_Triangulum_Galaxy,2024-12-03
IC_1396_Elephants_Trunk_Nebula_2024-10-27,IC_1396_Elephants_Trunk_Nebula,2024-10-27
As_Tl_Milky Way Capulin Volcano National Monument_2024-10-06,As_Tl_Milky Way Capulin Volcano National Monument,2024-10-06
IC_1396_Elephants_Trunk_Nebula_2024-10-26,IC_1396_Elephants_Trunk_Nebula,2024-10-26
Moon_full-1_6SE_R5_2024-09-19,Moon_full-1_6SE_R5,2024-09-19
